Model,MAE,RMSE,R²
Ridge,111.76298501092549,152.14143840675155,0.4583055576706023
Elastic Net,113.0016374324974,153.42342069993182,0.4491381872861768
XGBoost,117.47847747802734,157.96815490722656,0.4160194396972656
Random Forest,121.96295738354806,163.94582920535828,0.3709863220809748
Linear Regression,167.24251845485907,215.5625007911468,-0.08744116856113071
